Drug,Year,n,min_idx,max_idx,pct_left,pct_right,pct_exact
Amikacin,2024,25140.0,-2.0,6.0,0.5688146380270486,8.102625298329356,91.3285600636436
Amoxycillin clavulanate,2004,8287.0,-5.0,5.0,6.7817062869554725,33.075902015204534,60.14239169783999
Amoxycillin clavulanate,2005,7640.0,-5.0,5.0,6.19109947643979,33.18062827225131,60.6282722513089
Amoxycillin clavulanate,2006,16979.0,-5.0,5.0,5.530361034218741,34.97261322810531,59.497025737675955
Amoxycillin clavulanate,2007,22527.0,-5.0,5.0,5.708705109424247,32.51653571270032,61.77475917787544
Amoxycillin clavulanate,2008,29388.0,-5.0,5.0,5.648564039744113,34.52769838029128,59.823737579964614
Amoxycillin clavulanate,2009,33079.0,-5.0,5.0,5.241996432782128,35.013150337071856,59.74485323014601
Amoxycillin clavulanate,2010,26098.0,-5.0,5.0,5.0808491072112805,35.129128668863515,59.790022223925206
Amoxycillin clavulanate,2011,18337.0,-5.0,5.0,6.173310792386977,31.67366526694661,62.153023940666415
Amoxycillin clavulanate,2012,40345.0,-6.0,5.0,8.139794274383442,33.295327797744456,58.564877927872104
Amoxycillin clavulanate,2013,58059.0,-6.0,5.0,4.948414543826108,32.902736871113866,62.14884858506002
Amoxycillin clavulanate,2014,54420.0,-6.0,5.0,5.926130099228225,28.649393605292172,65.42447629547961
Amoxycillin clavulanate,2015,55894.0,-6.0,5.0,4.673131284216553,31.500697749311197,63.826170966472255
Amoxycillin clavulanate,2016,60419.0,-6.0,5.0,3.571724126516493,30.730399377679205,65.6978764958043
Amoxycillin clavulanate,2017,55764.0,-6.0,5.0,5.629079692991894,32.51380819166487,61.857112115343234
Amoxycillin clavulanate,2018,27952.0,-3.0,4.0,2.7618775042930737,52.23597595878649,45.002146536920435
Amoxycillin clavulanate,2019,32692.0,-3.0,4.0,3.138382478893919,50.18658999143521,46.67502752967087
Amoxycillin clavulanate,2020,34299.0,-1.0,4.0,13.618472841773812,49.67491763608268,36.7066095221435
Amoxycillin clavulanate,2021,36964.0,-1.0,4.0,12.133427118277243,50.257006817444,37.60956606427876
Amoxycillin clavulanate,2022,34307.0,-1.0,4.0,12.700032063427289,48.39828606406856,38.901681872504156
Amoxycillin clavulanate,2023,27110.0,-1.0,4.0,15.595721136112136,46.953153817779416,37.451125046108444
Amoxycillin clavulanate,2024,26014.0,-1.0,4.0,14.599830860305989,45.214115476282004,40.18605366341201
Ampicillin,2004,8283.0,-4.0,5.0,14.692744174815887,50.4889532777979,34.81830254738621
Ampicillin,2005,7633.0,-4.0,5.0,12.301847242237653,52.18131796148303,35.51683479627931
Ampicillin,2006,16913.0,-4.0,5.0,11.576893513865075,53.69833855614025,34.72476792999468
Ampicillin,2007,22449.0,-4.0,5.0,11.644171232571606,50.75059022673616,37.605238540692234
Ampicillin,2008,29386.0,-4.0,5.0,11.464643027291908,52.851698087524674,35.68365888518342
Ampicillin,2009,33079.0,-4.0,5.0,11.07651380029626,54.61773330511805,34.30575289458569
Ampicillin,2010,26098.0,-4.0,5.0,10.678979232125068,54.896926967583724,34.42409380029121
Ampicillin,2011,18337.0,-4.0,5.0,12.47750449910018,48.88476850084528,38.63772700005453
Ampicillin,2012,37764.0,-4.0,5.0,7.695159411079334,61.767821205380784,30.537019383539878
Ampicillin,2013,53902.0,-4.0,5.0,6.812363177618641,60.07940336165634,33.10823346072502
Ampicillin,2014,54929.0,-4.0,5.0,7.076407726337636,62.442425676782754,30.481166596879607
Ampicillin,2015,51847.0,-4.0,5.0,6.821995486720543,63.75296545605339,29.42503905722607
Ampicillin,2016,56424.0,-4.0,5.0,6.988161066212959,62.35821636183184,30.653622571955196
Ampicillin,2017,51318.0,-4.0,5.0,6.323317354534471,64.45106980007014,29.22561284539538
Ampicillin,2018,39056.0,-2.0,4.0,7.44827939369111,67.81288406390823,24.738836542400655
Ampicillin,2019,46452.0,-2.0,4.0,6.723068974425213,67.89158701455266,25.38534401102213
Ampicillin,2020,49071.0,-2.0,4.0,7.055083450510485,66.65036375863545,26.29455279085407
Ampicillin,2021,52037.0,-2.0,4.0,6.341641524300018,67.84595576224609,25.81240271345389
Ampicillin,2022,48951.0,-2.0,4.0,6.890564033421176,64.94657923229352,28.162856734285306
Ampicillin,2023,39238.0,-2.0,4.0,7.739945970742648,64.83510882307966,27.424945206177686
Ampicillin,2024,36824.0,-2.0,4.0,7.139365631110145,65.72072561373018,27.139908755159677
