Species,Drug,Country,first_cross_year,years_before,PRAS,pct_above_ecoff,pct_above_bp
Klebsiella pneumoniae,Meropenem,South Africa,2018,4,0.10021322969959576,5.05050505050505,1.0101010101010102
Klebsiella pneumoniae,Meropenem,Thailand,2017,1,0.24901792460591016,8.843537414965986,6.122448979591836
Klebsiella pneumoniae,Meropenem,Thailand,2017,2,0.2796063840467064,8.88888888888889,6.666666666666667
Klebsiella pneumoniae,Meropenem,Thailand,2017,3,0.06560156175854504,3.8461538461538463,0.9615384615384616
Klebsiella pneumoniae,Meropenem,United Kingdom,2018,1,0.0856258838069474,5.208333333333333,1.5625
Klebsiella pneumoniae,Meropenem,United Kingdom,2018,2,0.15946401680855088,5.325443786982248,4.142011834319527
Klebsiella pneumoniae,Meropenem,United Kingdom,2018,3,0.07482270774446098,3.1496062992125986,1.5748031496062993
Klebsiella pneumoniae,Meropenem,United Kingdom,2018,4,0.11937460212939704,4.878048780487805,2.4390243902439024
Klebsiella pneumoniae,Meropenem,United Kingdom,2018,5,0.057755079322414304,2.1052631578947367,0.0
Klebsiella pneumoniae,Meropenem,Venezuela,2018,1,0.08427499129691972,5.8441558441558445,1.2987012987012987
Klebsiella pneumoniae,Meropenem,Venezuela,2018,2,0.1439876730833988,6.5359477124183005,3.2679738562091503
Klebsiella pneumoniae,Meropenem,Venezuela,2018,3,0.13851933215070955,6.896551724137931,3.4482758620689653
Klebsiella pneumoniae,Meropenem,Venezuela,2018,4,0.3040001241020391,9.278350515463918,6.185567010309279
Klebsiella pneumoniae,Meropenem,Venezuela,2018,5,0.14334262405846335,4.285714285714286,4.285714285714286
Pseudomonas aeruginosa,Ceftazidime avibactam,Argentina,2021,1,0.627122350609532,29.75206611570248,9.917355371900827
Pseudomonas aeruginosa,Ceftazidime avibactam,Argentina,2021,2,0.17777365766136188,24.603174603174605,2.380952380952381
Pseudomonas aeruginosa,Ceftazidime avibactam,Argentina,2021,3,0.17350923225027512,17.1875,3.125
Pseudomonas aeruginosa,Ceftazidime avibactam,Argentina,2021,4,0.1782482511771552,17.796610169491526,2.542372881355932
Pseudomonas aeruginosa,Ceftazidime avibactam,Argentina,2021,5,0.4576709165488035,17.21311475409836,6.557377049180328
Pseudomonas aeruginosa,Ceftazidime avibactam,Belgium,2021,1,0.25982758927082417,10.583941605839415,5.109489051094891
Pseudomonas aeruginosa,Ceftazidime avibactam,Belgium,2021,2,0.2004827161451356,13.389121338912132,3.7656903765690375
Pseudomonas aeruginosa,Ceftazidime avibactam,Belgium,2021,3,0.30483883076848217,12.666666666666666,5.333333333333333
Pseudomonas aeruginosa,Ceftazidime avibactam,Belgium,2021,4,0.3459474245917184,12.987012987012989,6.493506493506493
Pseudomonas aeruginosa,Ceftazidime avibactam,Belgium,2021,5,0.5593919780469989,17.105263157894736,9.86842105263158
