Species,Drug,Year,countries,n_total,n_above_ecoff,n_above_bp,pct_above_ecoff,pct_above_bp,pct_above_ecoff_lo,pct_above_ecoff_hi,pct_above_bp_lo,pct_above_bp_hi
Escherichia coli,Cefepime,2019,53,5633,2164,1267,38.41647434759453,22.492455174862418,37.154585150603644,39.69415169016916,21.421054933440143,23.601347725222645
Escherichia coli,Cefepime,2020,56,6084,2223,1264,36.53846153846154,20.775805391190005,35.337311884402034,37.75659979053659,19.774961644707105,21.81353036755284
Escherichia coli,Cefepime,2021,59,6805,2743,1506,40.308596620132256,22.13078618662748,39.148943473293286,41.479185291677936,21.160348217973297,23.132671043236588
Escherichia coli,Cefepime,2022,59,6371,2377,1260,37.30968450792654,19.777115052582012,36.1301055874026,38.504557714496435,18.81737124202022,20.773283288352822
Escherichia coli,Cefepime,2023,58,5218,2032,1005,38.94212341893446,19.260252970486775,37.62766849546008,40.2728478434519,18.213053456488755,20.35268000558197
Escherichia coli,Cefepime,2024,55,5441,2029,1084,37.29093916559456,19.922808307296453,36.01540938229978,38.58440200872748,18.882890069036904,21.005166823828006
Escherichia coli,Ceftazidime avibactam,2012,33,3009,57,3,1.8943170488534398,0.09970089730807577,1.4650233797937076,2.4462829544871676,0.03391296595822511,0.2927374388243197
Escherichia coli,Ceftazidime avibactam,2013,39,4496,60,5,1.3345195729537367,0.11120996441281139,1.038230546533033,1.713898833001822,0.04751131087804732,0.26008750004365255
Escherichia coli,Ceftazidime avibactam,2014,38,4464,63,5,1.4112903225806452,0.11200716845878136,1.1046766838540116,1.801457296445422,0.04785195920141722,0.2619499652461803
Escherichia coli,Ceftazidime avibactam,2015,34,3877,78,9,2.0118648439515088,0.2321382512251741,1.6150747801747232,2.5036572143362448,0.1221787852685432,0.4406233557736029
Escherichia coli,Ceftazidime avibactam,2016,33,4619,78,16,1.6886772028577615,0.3463953236631305,1.355236458893623,2.1024088063513227,0.21333667198645537,0.5619756362543171
Escherichia coli,Ceftazidime avibactam,2017,33,4729,68,14,1.4379361387185452,0.296045675618524,1.1359037600907747,1.8188003016746734,0.17643450626309887,0.49634228327736934
Escherichia coli,Ceftazidime avibactam,2018,53,5702,218,59,3.8232199228340935,1.0347246580147316,3.3557866902032045,4.352830206972242,0.8030610102663005,1.3323200671791424
Escherichia coli,Ceftazidime avibactam,2019,53,5633,194,72,3.4439907686845377,1.2781821409550862,2.9986140886137886,3.9528224859864993,1.0162651620595753,1.6065061168691144
Escherichia coli,Ceftazidime avibactam,2020,56,6084,276,128,4.536489151873767,2.10387902695595,4.041639052744974,5.088714662615561,1.7723335335142956,2.495869910650778
Escherichia coli,Ceftazidime avibactam,2021,59,6805,330,135,4.849375459221161,1.9838354151359294,4.363990146412462,5.385707549378401,1.6786021025740605,2.3432489050733407
Escherichia coli,Ceftazidime avibactam,2022,59,6371,297,161,4.661748548108617,2.527075812274368,4.1708353988313265,5.2073030644159,2.1693528259292005,2.9420128594061765
Escherichia coli,Ceftazidime avibactam,2023,58,5218,305,127,5.845151399003449,2.4338827136834036,5.240514873732385,6.514753141611089,2.049451767807952,2.8882978910820234
Escherichia coli,Ceftazidime avibactam,2024,55,5441,311,160,5.715861054953134,2.9406359125160817,5.129696301470271,6.364512732051268,2.5238707394913,3.4238039773926596
Escherichia coli,Ceftriaxone,2004,23,1037,269,130,25.940212150433943,12.53616200578592,23.36475914085141,28.693261245328973,10.658034693149423,14.690826709780733
Escherichia coli,Ceftriaxone,2005,21,1008,302,167,29.96031746031746,16.567460317460316,27.212852215586665,32.8599441224025,14.40007139737621,18.98870269124928
