Species,Drug,Country,y_event,y_PRAS_alert,y_NAIVE_alert,PRAS_lead_yrs,NAIVE_lead_yrs,savings_vs_naive
Escherichia coli,Ceftriaxone,Finland,2007,,2007,,0,
Escherichia coli,Ceftriaxone,France,2008,,2005,,3,
Escherichia coli,Ceftriaxone,Germany,2006,,2004,,2,
Escherichia coli,Ceftriaxone,Greece,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Guatemala,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Honduras,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Hong Kong,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Hungary,2007,,2007,,0,
Escherichia coli,Ceftriaxone,India,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Indonesia,2008,,2008,,0,
Escherichia coli,Ceftriaxone,Ireland,2006,,2005,,1,
Escherichia coli,Ceftriaxone,Israel,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Italy,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Jamaica,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Japan,2016,,2016,,0,
Escherichia coli,Ceftriaxone,Jordan,2010,,2010,,0,
Escherichia coli,Ceftriaxone,"Korea, South",2005,,2005,,0,
Escherichia coli,Ceftriaxone,Kuwait,2012,,2012,,0,
Escherichia coli,Ceftriaxone,Latvia,2005,,2005,,0,
Escherichia coli,Ceftriaxone,Lebanon,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Lithuania,2016,,2006,,10,
Escherichia coli,Ceftriaxone,Malaysia,2009,,2009,,0,
Escherichia coli,Ceftriaxone,Mauritius,2009,,2009,,0,
Escherichia coli,Ceftriaxone,Mexico,2005,,2005,,0,
Escherichia coli,Ceftriaxone,Morocco,2011,,2011,,0,
Escherichia coli,Ceftriaxone,Namibia,2009,,2008,,1,
Escherichia coli,Ceftriaxone,Netherlands,2010,,2006,,4,
Escherichia coli,Ceftriaxone,Nicaragua,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Oman,2007,,2007,,0,
Escherichia coli,Ceftriaxone,Pakistan,2005,,2005,,0,
Escherichia coli,Ceftriaxone,Panama,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Philippines,2007,,2007,,0,
Escherichia coli,Ceftriaxone,Poland,2008,,2004,,4,
Escherichia coli,Ceftriaxone,Portugal,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Puerto Rico,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Romania,2008,,2008,,0,
Escherichia coli,Ceftriaxone,Russia,2016,,2016,,0,
Escherichia coli,Ceftriaxone,Saudi Arabia,2009,,2009,,0,
Escherichia coli,Ceftriaxone,Serbia,2017,,2017,,0,
Escherichia coli,Ceftriaxone,Singapore,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Slovak Republic,2007,,2007,,0,
Escherichia coli,Ceftriaxone,Slovenia,2007,,2007,,0,
Escherichia coli,Ceftriaxone,South Africa,2007,,2005,,2,
Escherichia coli,Ceftriaxone,Spain,2005,,2004,,1,
Escherichia coli,Ceftriaxone,Sweden,2005,,2005,,0,
Escherichia coli,Ceftriaxone,Switzerland,2009,,2009,,0,
Escherichia coli,Ceftriaxone,Taiwan,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Thailand,2008,,2008,,0,
Escherichia coli,Ceftriaxone,Tunisia,2011,,2011,,0,
Escherichia coli,Ceftriaxone,Turkey,2005,,2005,,0,
Escherichia coli,Ceftriaxone,United Kingdom,2004,,2004,,0,
Escherichia coli,Ceftriaxone,Venezuela,2006,,2006,,0,
Escherichia coli,Ceftriaxone,Vietnam,2015,,2015,,0,
Escherichia coli,Meropenem,Egypt,2013,,2012,,1,
Escherichia coli,Meropenem,El Salvador,2009,,2009,,0,
Escherichia coli,Meropenem,Guatemala,2008,,2008,,0,
Escherichia coli,Meropenem,India,2016,,2007,,9,
Escherichia coli,Meropenem,Jordan,2023,,2023,,0,
Escherichia coli,Meropenem,Pakistan,2016,,2016,,0,
Escherichia coli,Meropenem,Qatar,2023,2023.0,2023,0.0,0,0.0
Escherichia coli,Meropenem,Ukraine,2024,,2019,,5,
Klebsiella pneumoniae,Cefepime,Argentina,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Belgium,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Brazil,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Bulgaria,2022,,2022,,0,
Klebsiella pneumoniae,Cefepime,Cameroon,2020,,2020,,0,
Klebsiella pneumoniae,Cefepime,Canada,2021,,2018,,3,
Klebsiella pneumoniae,Cefepime,Chile,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,China,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Colombia,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Costa Rica,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Croatia,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Czech Republic,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Dominican Republic,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,France,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Germany,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Ghana,2022,,2022,,0,
Klebsiella pneumoniae,Cefepime,Greece,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Guatemala,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Hong Kong,2019,,2019,,0,
Klebsiella pneumoniae,Cefepime,Hungary,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,India,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Ireland,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Israel,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Italy,2018,,2018,,0,
