Species,Drug,Country,y_event,y_PRAS,y_NAIVE,PRAS_lead,NAIVE_lead
Klebsiella pneumoniae,Meropenem,Jordan,2015,,,,
Klebsiella pneumoniae,Meropenem,Kenya,2014,,,,
Klebsiella pneumoniae,Meropenem,"Korea, South",2023,,,,
Klebsiella pneumoniae,Meropenem,Kuwait,2020,,,,
Klebsiella pneumoniae,Meropenem,Malaysia,2020,2019.0,,1.0,
Klebsiella pneumoniae,Meropenem,Mexico,2021,2019.0,,2.0,
Klebsiella pneumoniae,Meropenem,Morocco,2019,,,,
Klebsiella pneumoniae,Meropenem,Nigeria,2018,,,,
Klebsiella pneumoniae,Meropenem,Panama,2021,,,,
Klebsiella pneumoniae,Meropenem,Philippines,2015,,,,
Klebsiella pneumoniae,Meropenem,Poland,2009,,,,
Klebsiella pneumoniae,Meropenem,Portugal,2019,,,,
Klebsiella pneumoniae,Meropenem,Romania,2009,,,,
Klebsiella pneumoniae,Meropenem,Saudi Arabia,2012,,,,
Klebsiella pneumoniae,Meropenem,Taiwan,2024,,,,
Klebsiella pneumoniae,Meropenem,Thailand,2017,,,,
Klebsiella pneumoniae,Meropenem,Tunisia,2013,,,,
Klebsiella pneumoniae,Meropenem,Turkey,2009,,,,
Klebsiella pneumoniae,Meropenem,United Kingdom,2018,,,,
Klebsiella pneumoniae,Meropenem,Venezuela,2009,,,,
Pseudomonas aeruginosa,Cefepime,Cameroon,2022,,,,
Pseudomonas aeruginosa,Cefepime,Canada,2009,,,,
Pseudomonas aeruginosa,Cefepime,Czech Republic,2009,,,,
Pseudomonas aeruginosa,Cefepime,Denmark,2009,,,,
Pseudomonas aeruginosa,Cefepime,France,2009,,,,
Pseudomonas aeruginosa,Cefepime,Ghana,2023,,,,
Pseudomonas aeruginosa,Cefepime,Israel,2009,,,,
Pseudomonas aeruginosa,Cefepime,Japan,2024,,,,
Pseudomonas aeruginosa,Cefepime,Kenya,2022,,,,
Pseudomonas aeruginosa,Cefepime,Kuwait,2018,,,,
Pseudomonas aeruginosa,Cefepime,Lithuania,2010,,,,
Pseudomonas aeruginosa,Cefepime,Malaysia,2010,,,,
Pseudomonas aeruginosa,Cefepime,Morocco,2012,,,,
Pseudomonas aeruginosa,Cefepime,Namibia,2009,,,,
Pseudomonas aeruginosa,Cefepime,Nigeria,2018,,,,
Pseudomonas aeruginosa,Cefepime,Panama,2010,,,,
Pseudomonas aeruginosa,Cefepime,Philippines,2018,,,,
Pseudomonas aeruginosa,Cefepime,Portugal,2009,,,,
Pseudomonas aeruginosa,Cefepime,Russia,2018,,,,
Pseudomonas aeruginosa,Cefepime,Slovenia,2009,,,,
Pseudomonas aeruginosa,Cefepime,Spain,2010,,,,
Pseudomonas aeruginosa,Cefepime,Sweden,2021,,,,
Pseudomonas aeruginosa,Cefepime,United Kingdom,2010,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Argentina,2021,2020.0,,1.0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Austria,2015,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Belgium,2013,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Brazil,2014,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Cameroon,2022,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,China,2016,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Colombia,2014,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Croatia,2019,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Czech Republic,2013,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Ghana,2023,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Guatemala,2019,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Hong Kong,2018,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Hungary,2014,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Italy,2014,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Japan,2016,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Jordan,2022,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,"Korea, South",2015,,,,
